,precision,recall,f1-score,support
0,1.0,1.0,1.0,341.0
1,1.0,1.0,1.0,268.0
2,1.0,1.0,1.0,317.0
3,1.0,1.0,1.0,261.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,1187.0
weighted avg,1.0,1.0,1.0,1187.0
