,Metric Type,Value
0,overall accuracy,0.99495
1,Macro Precision,0.99503
2,Macro Recall,0.99481
3,Macro F1-Score,0.99491
4,Macro FPR,0.0017
5,Macro FNR,0.00519
6,Macro FDR,0.00497
7,Macro NPV,0.99833
8,Weighted Precision,0.99498
9,Weighted Recall,0.99495
10,Weighted F1-Score,0.99495
11,Weighted FPR,0.00176
12,Weighted FNR,0.00505
13,Weighted FDR,0.00502
14,Weighted NPV,0.99835
