,precision,recall,f1-score,support
0,0.9941348973607038,0.9941348973607038,0.9941348973607038,341.0
1,0.9925925925925926,1.0,0.996282527881041,268.0
2,1.0,0.9936908517350158,0.9968354430379747,317.0
3,1.0,1.0,1.0,261.0
accuracy,0.9966301600673968,0.9966301600673968,0.9966301600673968,0.9966301600673968
macro avg,0.9966818724883241,0.9969564372739299,0.9968132170699299,1187.0
weighted avg,0.996642640956036,0.9966301600673968,0.9966306258762906,1187.0
