,Metric Type,Value
0,overall accuracy,0.99663
1,Macro Precision,0.99668
2,Macro Recall,0.99696
3,Macro F1-Score,0.99681
4,Macro FPR,0.00114
5,Macro FNR,0.00304
6,Macro FDR,0.00332
7,Macro NPV,0.99884
8,Weighted Precision,0.99664
9,Weighted Recall,0.99663
10,Weighted F1-Score,0.99663
11,Weighted FPR,0.00117
12,Weighted FNR,0.00337
13,Weighted FDR,0.00336
14,Weighted NPV,0.99871
