,precision,recall,f1-score,support
0,0.9970674486803519,0.9970674486803519,0.9970674486803519,341.0
1,1.0,0.996268656716418,0.9981308411214954,268.0
2,1.0,1.0,1.0,317.0
3,0.9961832061068703,1.0,0.9980879541108987,261.0
accuracy,0.9983150800336984,0.9983150800336984,0.9983150800336984,0.9983150800336984
macro avg,0.9983126636968056,0.9983340263491924,0.9983215609781865,1187.0
weighted avg,0.9983182955298172,0.9983150800336984,0.9983150980989935,1187.0
