,precision,recall,f1-score,support
0,0.9798850574712644,1.0,0.9898403483309144,341.0
1,0.9961977186311787,0.9776119402985075,0.9868173258003767,268.0
2,1.0,1.0,1.0,317.0
3,1.0,0.9923371647509579,0.9961538461538463,261.0
accuracy,0.9932603201347936,0.9932603201347936,0.9932603201347936,0.9932603201347936
macro avg,0.9940206940256108,0.9924872762623663,0.9932028800712843,1187.0
weighted avg,0.9933629260243109,0.9932603201347936,0.9932592720652879,1187.0
