,precision,recall,f1-score,support
0,1.0,0.9970674486803519,0.9985315712187959,341.0
1,0.9852941176470589,1.0,0.9925925925925926,268.0
2,0.9968553459119497,1.0,0.9984251968503937,317.0
3,1.0,0.9846743295019157,0.9922779922779923,261.0
accuracy,0.995787700084246,0.995787700084246,0.995787700084246,0.995787700084246
macro avg,0.9955373658897522,0.9954354445455669,0.9954568382349437,1187.0
weighted avg,0.995839905799073,0.995787700084246,0.9957872148159689,1187.0
