,Metric Type,Value
0,overall accuracy,0.94237
1,Macro Precision,0.94633
2,Macro Recall,0.93171
3,Macro F1-Score,0.93859
4,Macro FPR,0.00496
5,Macro FNR,0.06829
6,Macro FDR,0.05367
7,Macro NPV,0.99513
8,Weighted Precision,0.94293
9,Weighted Recall,0.94237
10,Weighted F1-Score,0.94234
11,Weighted FPR,0.00691
12,Weighted FNR,0.05763
13,Weighted FDR,0.05707
14,Weighted NPV,0.9943
