,Metric Type,Value
0,overall accuracy,0.91895
1,Macro Precision,0.92246
2,Macro Recall,0.9086
3,Macro F1-Score,0.91513
4,Macro FPR,0.00698
5,Macro FNR,0.0914
6,Macro FDR,0.07754
7,Macro NPV,0.99313
8,Weighted Precision,0.91906
9,Weighted Recall,0.91895
10,Weighted F1-Score,0.9187
11,Weighted FPR,0.00965
12,Weighted FNR,0.08105
13,Weighted FDR,0.08094
14,Weighted NPV,0.99178
