loss,accuracy,f1_score,binary_io_u,val_loss,val_accuracy,val_f1_score,val_binary_io_u,lr
0.07762990891933441,0.9730513095855713,0.6820932030677795,0.7249881625175476,0.21509909629821777,0.9623395204544067,0.0,0.48116984963417053,0.001
0.04803403466939926,0.9838111996650696,0.7634972929954529,0.8107178211212158,0.18971973657608032,0.9623395204544067,0.0,0.48116984963417053,0.001
0.04353450611233711,0.9848619103431702,0.7827705144882202,0.8223838806152344,0.28940635919570923,0.9623395204544067,0.0,0.48116984963417053,0.001
0.039159681648015976,0.9862716197967529,0.8006613850593567,0.8369899988174438,0.15602123737335205,0.9628795981407166,0.024507438763976097,0.48905694484710693,0.001
0.03718772903084755,0.9866171479225159,0.8105655908584595,0.8409637808799744,0.0911141186952591,0.9706817865371704,0.32033348083496094,0.5989086627960205,0.001
0.03558174893260002,0.9870437383651733,0.8122274279594421,0.8455789089202881,0.038949038833379745,0.9871049523353577,0.7594313025474548,0.8377429246902466,0.001
0.034816499799489975,0.9872210621833801,0.8164893388748169,0.8474440574645996,0.04269473999738693,0.98553466796875,0.6999783515930176,0.8091710805892944,0.001
0.03220955282449722,0.9880414009094238,0.8275386691093445,0.8565968871116638,0.03663255646824837,0.9866403937339783,0.7286984324455261,0.8278838396072388,0.001
0.031086819246411324,0.9883453249931335,0.8327649831771851,0.8600807189941406,0.034437935799360275,0.9876185059547424,0.7833099961280823,0.8482444882392883,0.001
0.02998146414756775,0.9886399507522583,0.83329176902771,0.8633742332458496,0.04625776782631874,0.9861184358596802,0.7489486932754517,0.831920862197876,0.001
0.029975464567542076,0.9886332154273987,0.8353340029716492,0.8633063435554504,0.04152337461709976,0.9860023260116577,0.7108333706855774,0.8132510185241699,0.001
0.028416041284799576,0.9890766739845276,0.8411209583282471,0.868274450302124,0.03488238528370857,0.9872093796730042,0.7894039750099182,0.8502986431121826,0.001
0.028201431035995483,0.9891128540039062,0.8434628248214722,0.8688361644744873,0.04463425651192665,0.9865777492523193,0.7636314630508423,0.8374269008636475,0.001
0.02852371707558632,0.9890378713607788,0.844062864780426,0.8681995868682861,0.03008119948208332,0.9888418316841125,0.7977204918861389,0.8595579862594604,0.001
0.026509476825594902,0.9896482825279236,0.8519322276115417,0.8750134706497192,0.03225811943411827,0.9886645674705505,0.7889469861984253,0.8565651178359985,0.001
0.026232507079839706,0.989632785320282,0.8517597317695618,0.8748382329940796,0.02992727793753147,0.9891517162322998,0.8023156523704529,0.861398458480835,0.001
0.02485824003815651,0.9900772571563721,0.8588851690292358,0.8799574375152588,0.03384244441986084,0.9884940981864929,0.7942517995834351,0.8571193218231201,0.001
0.025310035794973373,0.990013062953949,0.8547834753990173,0.8792140483856201,0.036234769970178604,0.9881962537765503,0.7863452434539795,0.8536013960838318,0.001
0.02542134001851082,0.9899706840515137,0.8543553352355957,0.878801703453064,0.03270907700061798,0.988259494304657,0.7734761238098145,0.8462278842926025,0.001
0.02384152263402939,0.9904549717903137,0.8628406524658203,0.8844376802444458,0.03202680125832558,0.9888178706169128,0.7893036603927612,0.8579638004302979,0.001
0.02397114410996437,0.9904342293739319,0.8650410175323486,0.8841217160224915,0.038296446204185486,0.9873878955841064,0.7619060277938843,0.8424261808395386,0.001
0.021934298798441887,0.9910245537757874,0.871894359588623,0.8908946514129639,0.027162538841366768,0.9898766875267029,0.8160215616226196,0.8711546659469604,0.0005
0.020207418128848076,0.9916158318519592,0.8809945583343506,0.897868275642395,0.02687884122133255,0.9900397062301636,0.8197160363197327,0.8738680481910706,0.0005
0.019796406850218773,0.9917552471160889,0.8817377686500549,0.8995224237442017,0.027424614876508713,0.9899916052818298,0.818085789680481,0.8712512850761414,0.0005
0.019381199032068253,0.9918691515922546,0.8860915303230286,0.9008966684341431,0.027811937034130096,0.9899430871009827,0.8157086968421936,0.8723897933959961,0.0005
0.01920291967689991,0.9919300675392151,0.8871633410453796,0.9016667008399963,0.028183771297335625,0.9899774193763733,0.8158245086669922,0.8712184429168701,0.0005
0.019121458753943443,0.9919360876083374,0.88649582862854,0.9017587304115295,0.029454221948981285,0.9898480176925659,0.8138130903244019,0.8706162571907043,0.0005
0.019015932455658913,0.9919462203979492,0.8851523399353027,0.901918888092041,0.028837013989686966,0.9898971319198608,0.8167661428451538,0.8716453313827515,0.0005
0.018074771389365196,0.9923046231269836,0.893505871295929,0.9060218930244446,0.0273109283298254,0.99018394947052,0.8227074146270752,0.875913143157959,0.00025
0.017356179654598236,0.9925832152366638,0.8950889110565186,0.909309983253479,0.02825109101831913,0.9901520013809204,0.8201354742050171,0.8735426068305969,0.00025
0.017007745802402496,0.9927106499671936,0.8997167348861694,0.910799503326416,0.02807600237429142,0.9902351498603821,0.82298743724823,0.8762481212615967,0.00025
0.016885116696357727,0.9927253127098083,0.8982896208763123,0.9109966158866882,0.028655927628278732,0.9902648329734802,0.8251765966415405,0.8770440220832825,0.00025
0.016827264800667763,0.9927459359169006,0.8999370336532593,0.9113011360168457,0.028460854664444923,0.9902194738388062,0.824815034866333,0.8764584064483643,0.00025
0.0163708608597517,0.9929243922233582,0.9016510248184204,0.9133387804031372,0.02849416248500347,0.9903069138526917,0.8238745331764221,0.8764809966087341,0.000125
0.015875158831477165,0.9931334257125854,0.9035224914550781,0.9157918691635132,0.028738752007484436,0.9902864694595337,0.8250013589859009,0.8769594430923462,0.000125
0.015611544251441956,0.9932354688644409,0.9053044319152832,0.9170020818710327,0.02935744822025299,0.9902580380439758,0.8242501020431519,0.8760901689529419,0.000125
0.015548158437013626,0.993252694606781,0.9053536057472229,0.9172313213348389,0.02961764857172966,0.9902142286300659,0.8240697979927063,0.8757522106170654,0.000125
0.015418455936014652,0.9932987093925476,0.9070917367935181,0.9177728891372681,0.03034333698451519,0.990156352519989,0.8216376304626465,0.8750547170639038,0.000125
0.015208480879664421,0.9933794140815735,0.9080898761749268,0.9187191724777222,0.030120206996798515,0.9902241230010986,0.8231149315834045,0.8754150867462158,6.25e-05
0.014952095225453377,0.9934908151626587,0.9084779620170593,0.920016884803772,0.030360762029886246,0.990219235420227,0.8236142992973328,0.8757871389389038,6.25e-05
