,Metric Type,Value
0,overall accuracy,0.99747
1,Macro Precision,0.99742
2,Macro Recall,0.9973
3,Macro F1-Score,0.99735
4,Macro FPR,0.00084
5,Macro FNR,0.0027
6,Macro FDR,0.00258
7,Macro NPV,0.99917
8,Weighted Precision,0.99749
9,Weighted Recall,0.99747
10,Weighted F1-Score,0.99747
11,Weighted FPR,0.00083
12,Weighted FNR,0.00253
13,Weighted FDR,0.00251
14,Weighted NPV,0.99922
