,precision,recall,f1-score,support
0,0.9353932584269663,0.9765395894428153,0.9555236728837876,341.0
1,0.9606299212598425,0.9104477611940298,0.9348659003831418,268.0
2,0.9935483870967742,0.9716088328075709,0.9824561403508772,317.0
3,0.9737827715355806,0.9961685823754789,0.9848484848484848,261.0
accuracy,0.9646166807076664,0.9646166807076664,0.9646166807076664,0.9646166807076664
macro avg,0.9658385845797909,0.9636911914549737,0.9644235496165728,1187.0
weighted avg,0.9650632368169313,0.9646166807076664,0.9645001556804854,1187.0
