,Metric Type,Value
0,overall accuracy,0.98905
1,Macro Precision,0.98905
2,Macro Recall,0.98879
3,Macro F1-Score,0.98891
4,Macro FPR,0.00367
5,Macro FNR,0.01121
6,Macro FDR,0.01095
7,Macro NPV,0.99636
8,Weighted Precision,0.98905
9,Weighted Recall,0.98905
10,Weighted F1-Score,0.98904
11,Weighted FPR,0.00372
12,Weighted FNR,0.01095
13,Weighted FDR,0.01095
14,Weighted NPV,0.99638
