,precision,recall,f1-score,support
0,0.9911764705882353,0.9882697947214076,0.9897209985315712,341.0
1,0.9775280898876404,0.9738805970149254,0.9757009345794393,268.0
2,0.9875,0.9968454258675079,0.9921507064364208,317.0
3,1.0,0.9961685823754789,0.9980806142034548,261.0
accuracy,0.9890480202190396,0.9890480202190396,0.9890480202190396,0.9890480202190396
macro avg,0.989051140118969,0.98879109999483,0.9889133134377215,1187.0
weighted avg,0.9890532473129536,0.9890480202190396,0.9890425654709373,1187.0
