,precision,recall,f1-score,support
0,0.9295774647887324,0.967741935483871,0.9482758620689654,341.0
1,0.9761904761904762,0.917910447761194,0.9461538461538461,268.0
2,0.9751552795031055,0.9905362776025236,0.9827856025039122,317.0
3,0.9961240310077519,0.9846743295019157,0.9903660886319846,261.0
accuracy,0.966301600673968,0.966301600673968,0.966301600673968,0.966301600673968
macro avg,0.9692618128725166,0.965215747587376,0.9668953498396772,1187.0
weighted avg,0.9669061152548551,0.966301600673968,0.9662678052750092,1187.0
