,Metric Type,Value
0,overall accuracy,0.95198
1,Macro Precision,0.95665
2,Macro Recall,0.94876
3,Macro F1-Score,0.951
4,Macro FPR,0.01646
5,Macro FNR,0.05124
6,Macro FDR,0.04335
7,Macro NPV,0.98465
8,Weighted Precision,0.95412
9,Weighted Recall,0.95198
10,Weighted F1-Score,0.95139
11,Weighted FPR,0.01781
12,Weighted FNR,0.04802
13,Weighted FDR,0.04588
14,Weighted NPV,0.98544
