,precision,recall,f1-score,support
0,0.8983957219251337,0.9853372434017595,0.9398601398601398,341.0
1,0.9741379310344828,0.8432835820895522,0.9039999999999999,268.0
2,0.9841269841269841,0.9779179810725552,0.9810126582278481,317.0
3,0.9699248120300752,0.9885057471264368,0.9791271347248577,261.0
accuracy,0.9519797809604044,0.9519797809604044,0.9519797809604044,0.9519797809604044
macro avg,0.956646362279169,0.9487611384225759,0.9509999832032113,1187.0
weighted avg,0.954120081383164,0.9519797809604044,0.9513879549399523,1187.0
