,precision,recall,f1-score,support
0,0.9620991253644315,0.967741935483871,0.9649122807017544,341.0
1,0.9552238805970149,0.9552238805970149,0.9552238805970149,268.0
2,0.9814241486068112,1.0,0.990625,317.0
3,0.9920948616600791,0.9616858237547893,0.9766536964980544,261.0
accuracy,0.9721988205560236,0.9721988205560236,0.9721988205560236,0.9721988205560236
macro avg,0.9727105040570843,0.9711629099589189,0.971853714449206,1187.0
weighted avg,0.9723032988634465,0.9721988205560236,0.9721734014366389,1187.0
