loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score,lr
2.9074668884277344,0.244283989071846,0.23929649591445923,1.3922616243362427,0.270232230424881,0.1063711941242218,0.001
1.4074556827545166,0.2530084252357483,0.23489993810653687,1.3764572143554688,0.261787474155426,0.1037367582321167,0.001
1.3822154998779297,0.3005415201187134,0.28162243962287903,1.3616347312927246,0.28923293948173523,0.159575417637825,0.001
1.256862998008728,0.42057761549949646,0.404690682888031,1.0871187448501587,0.5946516394615173,0.5773457288742065,0.001
0.995536744594574,0.6052948236465454,0.5992627143859863,0.9463075995445251,0.6600984930992126,0.6492252349853516,0.001
0.899226188659668,0.6630565524101257,0.6588723659515381,0.8528909087181091,0.6826179027557373,0.6781561374664307,0.001
0.7915786504745483,0.7030686140060425,0.7015974521636963,0.8180040717124939,0.6952850222587585,0.6785796284675598,0.001
0.745527982711792,0.7253309488296509,0.7238608598709106,0.6974882483482361,0.7529908418655396,0.749231219291687,0.001
0.7074753642082214,0.7433814406394958,0.7414871454238892,0.8763392567634583,0.7079521417617798,0.6984423398971558,0.001
0.6137410998344421,0.7713598012924194,0.7713739275932312,0.6043668389320374,0.7825474739074707,0.7814512252807617,0.001
0.5974231362342834,0.7701564431190491,0.7704199552536011,0.5900195240974426,0.7790288329124451,0.7776373624801636,0.001
0.6306992769241333,0.7668471932411194,0.7662930488586426,0.821708619594574,0.6988036632537842,0.6918060779571533,0.001
0.5994949340820312,0.771058976650238,0.7715818881988525,0.5192612409591675,0.7895848155021667,0.7901811003684998,0.001
0.5662521719932556,0.7894103527069092,0.7902289628982544,0.5334133505821228,0.8036593794822693,0.7987942695617676,0.001
0.5454556941986084,0.7969313859939575,0.7969393134117126,0.5550591349601746,0.7916960120201111,0.7887002229690552,0.001
0.5088277459144592,0.810168445110321,0.8107605576515198,0.5533381700515747,0.797325849533081,0.7921900749206543,0.001
0.48031169176101685,0.8149819374084473,0.8147644996643066,0.5302075743675232,0.7994369864463806,0.7949612140655518,0.0005
0.4205295145511627,0.8348375558853149,0.8355132341384888,0.47486841678619385,0.8106967210769653,0.8090389370918274,0.0005
0.36221563816070557,0.8610108494758606,0.8616756796836853,0.4214736521244049,0.8360309600830078,0.8329848051071167,0.0005
0.3625877797603607,0.8628158569335938,0.863513708114624,0.4639677405357361,0.8367347121238708,0.8345432281494141,0.0005
0.364641398191452,0.8583032488822937,0.858720064163208,0.40852585434913635,0.8648838996887207,0.8644628524780273,0.0005
0.30912113189697266,0.8802647590637207,0.8813552260398865,0.4112599194049835,0.8494018316268921,0.8487235307693481,0.0005
0.41141265630722046,0.8444644808769226,0.8458061218261719,0.41722536087036133,0.8353272080421448,0.8332270979881287,0.0005
0.33071139454841614,0.8712394833564758,0.8718653917312622,0.331478476524353,0.8747361302375793,0.8750808238983154,0.0005
0.2795037627220154,0.8947051763534546,0.8965380191802979,0.3293824791908264,0.878254771232605,0.8788226842880249,0.0005
0.3031902015209198,0.8898916840553284,0.89093017578125,0.34821489453315735,0.8676987886428833,0.8670265674591064,0.0005
0.31612542271614075,0.8766546249389648,0.8781530857086182,0.3722502291202545,0.8712174296379089,0.8712436556816101,0.0005
0.3012445867061615,0.884175717830658,0.8854736685752869,0.41368889808654785,0.8465868830680847,0.8438959717750549,0.0005
0.2663802206516266,0.8965102434158325,0.8974118232727051,0.28274476528167725,0.9035890102386475,0.9032822847366333,0.00025
0.22108638286590576,0.9196751117706299,0.9211295247077942,0.24779854714870453,0.9204785227775574,0.9202113151550293,0.00025
0.2063172608613968,0.9271961450576782,0.9282456636428833,0.28796839714050293,0.9141449928283691,0.9139648079872131,0.00025
0.18510428071022034,0.9305053949356079,0.9314114451408386,0.2415386587381363,0.9162561297416687,0.9159837961196899,0.00025
0.1808944195508957,0.9323104619979858,0.9332333207130432,0.2817683219909668,0.8993666172027588,0.8984947204589844,0.00025
0.1811135858297348,0.9362214207649231,0.937292218208313,0.20920321345329285,0.9282195568084717,0.9278713464736938,0.00025
0.18991555273532867,0.9283995032310486,0.9292529225349426,0.19351547956466675,0.9401829838752747,0.9396495819091797,0.00025
0.16080762445926666,0.9395306706428528,0.9403941035270691,0.1757083684206009,0.9472202658653259,0.947241485118866,0.00025
0.18214796483516693,0.9323104619979858,0.9330641627311707,0.175221785902977,0.9324419498443604,0.9329925775527954,0.00025
0.15835121273994446,0.9419374465942383,0.9429627656936646,0.16686300933361053,0.9451090693473816,0.9451870322227478,0.00025
0.15162155032157898,0.9440433382987976,0.9448319673538208,0.1614512801170349,0.9429978728294373,0.9437124729156494,0.00025
0.15319526195526123,0.9455475211143494,0.9462186694145203,0.19414961338043213,0.9380717873573303,0.9373489618301392,0.00025
0.12827418744564056,0.9512635469436646,0.9521234631538391,0.19878917932510376,0.9268121123313904,0.9260603189468384,0.00025
0.12021331489086151,0.9548736214637756,0.9555554986000061,0.12535199522972107,0.9591836929321289,0.9590777158737183,0.00025
0.1282121241092682,0.9527677297592163,0.953493058681488,0.14536280930042267,0.9521463513374329,0.9523565769195557,0.00025
0.13919785618782043,0.9482551217079163,0.9487478733062744,0.13678453862667084,0.9507389068603516,0.9503464698791504,0.00025
0.16904208064079285,0.9383273124694824,0.9382694363594055,0.24654771387577057,0.9113300442695618,0.9111735820770264,0.00025
0.15310132503509521,0.9422382712364197,0.9431030750274658,0.12707072496414185,0.947924017906189,0.9480687379837036,0.000125
0.11286437511444092,0.9602888226509094,0.9608640670776367,0.11839723587036133,0.9507389068603516,0.9507848620414734,0.000125
