loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score,lr
0.596346378326416,0.7683513760566711,0.7676324844360352,1.385926365852356,0.24700914323329926,0.09904062747955322,1e-04
0.3739417791366577,0.8607100248336792,0.8631008267402649,1.3868502378463745,0.24700914323329926,0.09904062747955322,1e-04
0.2888125479221344,0.8904933929443359,0.892039954662323,1.394521951675415,0.24700914323329926,0.09904062747955322,1e-04
0.23439253866672516,0.9124549031257629,0.9138939380645752,1.4349230527877808,0.35186487436294556,0.2285497486591339,1e-04
0.1475846767425537,0.9446450471878052,0.9454646110534668,1.6500129699707031,0.27304714918136597,0.1122412458062172,5e-05
0.11995936185121536,0.9587846398353577,0.9593451619148254,1.9112638235092163,0.3237156867980957,0.19325175881385803,5e-05
0.10987386107444763,0.961793065071106,0.9623692631721497,0.728797197341919,0.732582688331604,0.7302501201629639,5e-05
0.09615444391965866,0.9657040238380432,0.9661296606063843,0.19432099163532257,0.9275158047676086,0.9288102984428406,5e-05
0.09315946698188782,0.9669073820114136,0.9675055742263794,0.12730662524700165,0.9486277103424072,0.9500401616096497,5e-05
0.07158507406711578,0.9771360158920288,0.9774748086929321,0.20891356468200684,0.9324418902397156,0.9349158406257629,5e-05
0.09765361994504929,0.965403139591217,0.9661885499954224,0.03968168795108795,0.9859253764152527,0.9860244989395142,5e-05
0.06920316070318222,0.9750301241874695,0.9756327271461487,0.0919281467795372,0.9669246673583984,0.9676936268806458,5e-05
0.07370942085981369,0.972623348236084,0.9729391932487488,0.07494225353002548,0.9718507528305054,0.9721999168395996,5e-05
0.07223998010158539,0.9732250571250916,0.9732367992401123,0.019281739369034767,0.9950738549232483,0.9951784610748291,5e-05
0.06261317431926727,0.9765343070030212,0.9768418669700623,0.03753145411610603,0.987332820892334,0.9874666929244995,5e-05
0.04839126393198967,0.9840553998947144,0.9842281341552734,0.04565293341875076,0.982406735420227,0.9827817678451538,5e-05
0.0546838752925396,0.9795427322387695,0.9797793626785278,0.029712071642279625,0.993666410446167,0.9938067197799683,5e-05
0.03923504799604416,0.9867629408836365,0.9870100021362305,0.007463432848453522,0.9985924959182739,0.9986567497253418,2.5e-05
0.025532446801662445,0.9900722503662109,0.9902814030647278,0.014125097543001175,0.9957776069641113,0.9958382844924927,2.5e-05
0.021707799285650253,0.9930806756019592,0.9932295083999634,0.01712762750685215,0.9950738549232483,0.9951909780502319,2.5e-05
0.023107197135686874,0.9939831495285034,0.9941198825836182,0.011804779060184956,0.9971850514411926,0.9971925020217896,2.5e-05
0.02215208113193512,0.9927797913551331,0.9929221868515015,0.0026865664403885603,1.0,1.0,1.25e-05
0.019928591325879097,0.9924789667129517,0.9926168322563171,0.013311921618878841,0.9964812994003296,0.996464729309082,1.25e-05
0.013338740915060043,0.9954873919487,0.9956101775169373,0.002983551472425461,1.0,1.0,1.25e-05
0.013954897411167622,0.9951865673065186,0.9952861070632935,0.007467447314411402,0.9985924959182739,0.9985545873641968,1.25e-05
0.015527785755693913,0.9948856830596924,0.9949777722358704,0.010283213108778,0.9978888034820557,0.9978635311126709,6.25e-06
0.013530521653592587,0.9966907501220703,0.9967326521873474,0.005873170681297779,0.9985924959182739,0.9985545873641968,6.25e-06
0.00902291014790535,0.9978941082954407,0.9979305863380432,0.005013447254896164,0.999296247959137,0.9992456436157227,6.25e-06
0.013967926613986492,0.9960891008377075,0.9961784482002258,0.0034573660232126713,0.9985924959182739,0.9986158609390259,6.25e-06
0.013264159671962261,0.9960891008377075,0.996153712272644,0.002876116894185543,0.999296247959137,0.9993184804916382,3.125e-06
0.007092191372066736,0.9978941082954407,0.9979298710823059,0.005802932195365429,0.9985924959182739,0.998565137386322,3.125e-06
0.013413412496447563,0.9951865673065186,0.9952573180198669,0.009655586443841457,0.9978888034820557,0.9978920817375183,3.125e-06
0.0055938358418643475,0.9984958171844482,0.998457670211792,0.0018146116053685546,1.0,1.0,3.125e-06
0.007650969550013542,0.9981949925422668,0.998243510723114,0.007816060446202755,0.999296247959137,0.9992456436157227,3.125e-06
0.016311170533299446,0.9957882165908813,0.9958716034889221,0.005373811349272728,0.9985924959182739,0.9984910488128662,3.125e-06
0.009347782470285892,0.9966907501220703,0.9967395067214966,0.0036903447471559048,0.999296247959137,0.9992456436157227,3.125e-06
0.010111101903021336,0.9969915747642517,0.9970448017120361,0.007106503006070852,0.9978888034820557,0.9979031682014465,1.5625e-06
0.007983634248375893,0.9981949925422668,0.9982352256774902,0.004469269886612892,0.999296247959137,0.9992456436157227,1.5625e-06
0.010224676690995693,0.9975932836532593,0.9976149201393127,0.001527252490632236,1.0,1.0,1.5625e-06
0.01327440980821848,0.9951865673065186,0.9952689409255981,0.001434746547602117,1.0,1.0,1.5625e-06
0.010193688794970512,0.9969915747642517,0.9970576763153076,0.005615635775029659,0.9985924959182739,0.9985545873641968,1.5625e-06
0.00796543713659048,0.9978941082954407,0.9978971481323242,0.0032491881866008043,0.999296247959137,0.9992456436157227,1.5625e-06
0.007733388338238001,0.9978941082954407,0.9979265928268433,0.005427177995443344,0.9978888034820557,0.9978294372558594,7.8125e-07
0.011438802815973759,0.9975932836532593,0.9976414442062378,0.004696333315223455,0.9985924959182739,0.9985545873641968,7.8125e-07
0.006564609706401825,0.9984958171844482,0.9984673261642456,0.003674218198284507,0.999296247959137,0.9992456436157227,7.8125e-07
0.006787266582250595,0.9984958171844482,0.9985021352767944,0.004514884203672409,0.9985924959182739,0.9985545873641968,7.8125e-07
