,precision,recall,f1-score,support
0,1.0,1.0,1.0,341.0
1,0.9925925925925926,1.0,0.996282527881041,268.0
2,1.0,1.0,1.0,317.0
3,1.0,0.9923371647509579,0.9961538461538463,261.0
accuracy,0.9983150800336984,0.9983150800336984,0.9983150800336984,0.9983150800336984
macro avg,0.9981481481481481,0.9980842911877394,0.9981090935087218,1187.0
weighted avg,0.9983275609223377,0.9983150800336984,0.9983149716244928,1187.0
