loss,accuracy,f1_score,binary_io_u,val_loss,val_accuracy,val_f1_score,val_binary_io_u,lr
0.18764039874076843,0.9500675201416016,0.52779221534729,0.6197268962860107,0.2624945342540741,0.9651278853416443,0.0,0.48256397247314453,0.001
0.08061406761407852,0.9782156348228455,0.6975383758544922,0.7661061882972717,0.137436643242836,0.9654021263122559,0.012066800147294998,0.48662787675857544,0.001
0.06427823752164841,0.9803507328033447,0.7297956943511963,0.785571813583374,0.09018398076295853,0.9701323509216309,0.25962546467781067,0.5695018768310547,0.001
0.05831969529390335,0.9814265966415405,0.7493999004364014,0.7965967655181885,0.08429385721683502,0.9739555716514587,0.39751821756362915,0.62640380859375,0.001
0.05551454424858093,0.9817118048667908,0.7498853802680969,0.7981705069541931,0.05196402594447136,0.9835282564163208,0.6965395212173462,0.7876657247543335,0.001
0.05473274365067482,0.9818403124809265,0.755706787109375,0.800025224685669,0.05167663097381592,0.9832838773727417,0.681354820728302,0.7845114469528198,0.001
0.05386034771800041,0.9819966554641724,0.7534520626068115,0.8016276359558105,0.05670854076743126,0.9814282059669495,0.6190389394760132,0.7398310899734497,0.001
0.053019966930150986,0.9823868870735168,0.7651544809341431,0.8051439523696899,0.052227795124053955,0.9822683930397034,0.6996214389801025,0.7871065139770508,0.001
0.05118260160088539,0.9828298687934875,0.7688472867012024,0.8099210262298584,0.06181372329592705,0.9793272018432617,0.6461747288703918,0.7600787878036499,0.001
0.04908986762166023,0.9835389256477356,0.7812400460243225,0.8164525032043457,0.04641447588801384,0.9845897555351257,0.7163404822349548,0.8023353815078735,0.0005
0.04751196503639221,0.9840652346611023,0.7854254841804504,0.8217002153396606,0.04509123042225838,0.9850708246231079,0.7061984539031982,0.8004230260848999,0.0005
0.0468212366104126,0.9841369390487671,0.7826345562934875,0.8229026198387146,0.045343030244112015,0.9848006367683411,0.7159827947616577,0.8022792935371399,0.0005
0.04626230522990227,0.9844053387641907,0.7855689525604248,0.825319230556488,0.08005928993225098,0.9679562449455261,0.5693355202674866,0.702398419380188,0.0005
0.04452906548976898,0.9850319623947144,0.798736572265625,0.831701934337616,0.04407411068677902,0.9851928949356079,0.7170245051383972,0.8077680468559265,0.0005
0.044579584151506424,0.9850276708602905,0.7974550127983093,0.831668496131897,0.04726233333349228,0.9849815964698792,0.7078171968460083,0.7998385429382324,0.0005
0.04426826536655426,0.9848965406417847,0.7960245609283447,0.8307937979698181,0.04389306530356407,0.985341489315033,0.7402285933494568,0.8150212168693542,0.0005
0.04379221796989441,0.985141396522522,0.7987244129180908,0.8330569863319397,0.042298413813114166,0.9860471487045288,0.7290698885917664,0.8147129416465759,0.0005
0.042886167764663696,0.9854542016983032,0.801203191280365,0.8365920782089233,0.0486375167965889,0.9834681153297424,0.7156192660331726,0.8025307655334473,0.0005
0.04218471050262451,0.9855670928955078,0.8071765303611755,0.8377504944801331,0.050165705382823944,0.9839536547660828,0.6638843417167664,0.7763476371765137,0.0005
0.04300006851553917,0.9854222536087036,0.8038656711578369,0.8359380960464478,0.04483646899461746,0.9857165813446045,0.71336430311203,0.8052158951759338,0.0005
0.03973003849387169,0.9863958954811096,0.8173705339431763,0.8466732501983643,0.042290832847356796,0.9861149191856384,0.7107112407684326,0.8077963590621948,0.00025
0.0384710393846035,0.9867867231369019,0.8207386136054993,0.8499501943588257,0.03933113440871239,0.9867331981658936,0.7311674952507019,0.819438099861145,0.00025
0.038725387305021286,0.9867052435874939,0.8193770051002502,0.8490834832191467,0.03949393332004547,0.9868642091751099,0.741409182548523,0.822807788848877,0.00025
0.038079988211393356,0.9869580864906311,0.8259255290031433,0.8521044850349426,0.042332593351602554,0.9857901930809021,0.7349074482917786,0.8173922300338745,0.00025
0.03818565607070923,0.9869465231895447,0.8252905011177063,0.8518420457839966,0.039629507809877396,0.9865891337394714,0.7427569627761841,0.8258517980575562,0.00025
0.03649775683879852,0.9873759150505066,0.8252336978912354,0.8560212850570679,0.03790797293186188,0.9872617721557617,0.75360107421875,0.8315862417221069,0.000125
0.035729069262742996,0.9877081513404846,0.8291402459144592,0.859886884689331,0.03798162564635277,0.9872733354568481,0.735233724117279,0.8243852853775024,0.000125
0.03531956672668457,0.987786054611206,0.8356673717498779,0.8605180978775024,0.0371185801923275,0.9873409271240234,0.7417720556259155,0.8282991647720337,0.000125
0.035325951874256134,0.9877921342849731,0.8332146406173706,0.8605872392654419,0.03636517375707626,0.9876214861869812,0.7588609457015991,0.8344458341598511,0.000125
0.034903042018413544,0.9879519939422607,0.8392735719680786,0.8625067472457886,0.03727923333644867,0.9874192476272583,0.7512118816375732,0.8331985473632812,0.000125
0.03468699753284454,0.9879792332649231,0.8349981307983398,0.8624625205993652,0.03724293410778046,0.9876058101654053,0.7505066394805908,0.8321352005004883,0.000125
0.03418247401714325,0.9880801439285278,0.8358376026153564,0.8636436462402344,0.03646204620599747,0.9877229928970337,0.7530189156532288,0.8317757248878479,0.000125
0.03300340473651886,0.9884315729141235,0.8427268862724304,0.8675270676612854,0.035682763904333115,0.9879019260406494,0.7600990533828735,0.8350314497947693,6.25e-05
0.032543495297431946,0.988631010055542,0.8456611633300781,0.8693869709968567,0.03551974520087242,0.988064169883728,0.7627555131912231,0.837017297744751,6.25e-05
0.03262786567211151,0.9885938763618469,0.8458012938499451,0.8691674470901489,0.0351734533905983,0.9880483150482178,0.7583144903182983,0.8364855051040649,6.25e-05
0.03221672773361206,0.9887033104896545,0.8472284078598022,0.8703267574310303,0.03534865379333496,0.9881902933120728,0.7668330073356628,0.8411322832107544,6.25e-05
